Symbol: Ni
Atomic Number: 28
Atomic Mass: 58.693000
Start Spectral Index: 28
18 0.022460
18 0.022470
24 0.022471
19 0.022532
27 0.022609
17 0.022610
17 0.022605
16 0.022689
24 0.022782
16 0.022872
19 0.022888
18 0.022880
18 0.022900
18 0.022900
18 0.022910
16 0.022913
18 0.023060
18 0.023080
16 0.023137
23 0.023237
16 0.023248
17 0.023252
25 0.023289
25 0.023289
18 0.023378
26 0.023415
19 0.023495
19 0.023485
19 0.023490
23 0.023535
16 0.023566
16 0.023578
17 0.023592
18 0.023632
16 0.023748
19 0.023751
16 0.023761
16 0.023786
16 0.023808
16 0.023870
25 0.023881
16 0.023906
16 0.023951
18 0.023980
16 0.023993
18 0.024000
18 0.024000
19 0.024040
17 0.024090
18 0.024420
18 0.024470
14 0.024567
19 0.024582
16 0.024566
18 0.024650
23 0.024704
16 0.024900
17 0.024919
22 0.024994
19 0.025040
19 0.025040
16 0.025060
16 0.025108
19 0.025130
16 0.025161
17 0.025195
16 0.025316
16 0.025322
14 0.025368
19 0.025405
19 0.025410
16 0.025414
16 0.025463
16 0.025480
17 0.025485
16 0.025516
16 0.025574
16 0.025662
16 0.025784
20 0.025924
16 0.025974
20 0.026076
16 0.026336
17 0.026358
24 0.026498
20 0.026536
16 0.026565
17 0.026606
20 0.026609
18 0.026730
13 0.026748
18 0.026750
17 0.026875
15 0.026905
17 0.026907
16 0.026912
17 0.026942
16 0.026965
18 0.027010
17 0.027029
20 0.027105
16 0.027164
19 0.027210
17 0.027310
20 0.027305
17 0.027408
17 0.027438
17 0.027496
17 0.027535
20 0.027578
17 0.027714
20 0.027719
15 0.027778
25 0.027801
15 0.027839
17 0.027911
17 0.027917
17 0.028147
23 0.028238
17 0.028312
19 0.028330
17 0.028562
14 0.028588
16 0.028815
14 0.028889
17 0.028972
17 0.029024
17 0.029023
13 0.029057
17 0.029169
17 0.029191
18 0.029198
14 0.029240
12 0.029532
14 0.029555
20 0.029711
19 0.029795
15 0.029808
19 0.029821
16 0.030176
14 0.030226
16 0.030258
13 0.030284
18 0.030340
19 0.030390
5 0.030402
16 0.030430
16 0.030444
19 0.030630
18 0.030680
18 0.030690
19 0.030795
13 0.030805
13 0.030857
16 0.030919
16 0.030968
16 0.031002
15 0.031176
15 0.031203
20 0.031283
16 0.031323
16 0.031372
19 0.031500
5 0.031524
5 0.031571
14 0.031611
16 0.031681
27 0.031699
12 0.031747
15 0.031906
18 0.032056
13 0.032188
17 0.032203
16 0.032247
20 0.032283
15 0.032435
15 0.032465
16 0.032590
14 0.032596
20 0.032599
25 0.032658
19 0.032822
22 0.033058
19 0.033415
14 0.033452
25 0.033490
16 0.033560
15 0.033595
5 0.033679
17 0.033820
24 0.033862
14 0.033866
18 0.033930
24 0.033966
17 0.034123
18 0.034180
16 0.034330
5 0.034393
19 0.034621
20 0.034675
16 0.034700
5 0.034734
5 0.034746
5 0.034772
19 0.034803
5 0.034810
5 0.035077
5 0.035359
17 0.035377
20 0.035391
5 0.035418
5 0.035442
5 0.035449
24 0.035474
16 0.035510
5 0.035561
5 0.035578
17 0.035589
5 0.035737
5 0.035857
5 0.035858
21 0.035905
27 0.035917
17 0.035923
5 0.035947
15 0.035979
19 0.036136
5 0.036562
20 0.036582
17 0.036679
16 0.036854
18 0.036900
18 0.036950
14 0.036958
5 0.037062
5 0.037131
5 0.037176
17 0.037282
5 0.037360
5 0.037768
18 0.037980
18 0.037990
18 0.038020
18 0.038040
16 0.038537
19 0.038812
16 0.038882
